SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SEASON,SURVEY,YEAR,LENGTH,WEIGHT,pred,K_rel
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,12.00,0.013,0.0141807771,0.9167339643
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,21.00,0.083,0.0821422635,1.010442085
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,23.00,0.130,0.1092896746,1.1894993782
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,25.00,0.149,0.1419857314,1.0494012218
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,25.00,0.152,0.1419857314,1.0705301055
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,26.00,0.153,0.1605869562,0.9527548414
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,26.00,0.189,0.1605869562,1.1769324512
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,27.00,0.199,0.1807830767,1.1007667512
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,27.00,0.192,0.1807830767,1.0620463127
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,28.00,0.216,0.2026441362,1.0659079706
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,29.00,0.228,0.2262405395,1.007776946
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,29.00,0.223,0.2262405395,0.9856765744
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,30.00,0.248,0.2516430415,0.9855229792
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,30.00,0.274,0.2516430415,1.0888439367
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,32.00,0.336,0.3081510504,1.0903743457
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,33.00,0.351,0.3393997275,1.0341787915
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,43.00,0.851,0.7790038774,1.0924207499
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,44.00,0.870,0.8372957072,1.0390594297
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,44.00,0.763,0.8372957072,0.911267063
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,51.00,1.338,1.3308706095,1.0053569373
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,52.00,1.290,1.4145115998,0.9119755541
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,53.00,1.780,1.5016646521,1.1853512017
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1992,60.00,2.300,2.2165685787,1.0376399008
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,18.00,0.056,0.0506324453,1.1060101821
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,18.00,0.048,0.0506324453,0.9480087275
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,20.00,0.071,0.0704784029,1.0074008069
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,26.00,0.160,0.1605869562,0.9963449322
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,40.00,0.691,0.6208008474,1.1130783775
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,44.00,0.801,0.8372957072,0.956651268
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,46.00,0.840,0.9626654377,0.8725772913
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,50.00,1.320,1.2506648659,1.0554386198
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,56.00,1.800,1.7849673977,1.0084217797
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,62.00,2.710,2.4568586153,1.1030345756
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,66.00,2.980,2.9895631801,0.9968011447
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1993,67.00,2.860,3.1340601496,0.9125542789
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,14.00,0.024,0.0230058241,1.0432140971
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,18.00,0.054,0.0506324453,1.0665098185
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,25.00,0.161,0.1419857314,1.1339167564
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,32.00,0.332,0.3081510504,1.0773936987
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,33.00,0.428,0.3393997275,1.2610499224
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,34.00,0.318,0.3727408257,0.8531397101
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1994,48.00,1.033,1.1002529051,0.9388750488
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,20.00,0.077,0.0704784029,1.0925332695
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,41.00,0.679,0.6708311173,1.0121772566
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,43.00,0.616,0.7790038774,0.7907534453
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,47.00,1.070,1.029894116,1.0389417546
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,49.00,1.150,1.1738177625,0.979709148
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,56.00,1.770,1.7849673977,0.9916147501
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1995,57.00,2.060,1.8869409123,1.0917141001
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1996,17.00,0.043,0.0423165951,1.016149808
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1996,45.00,0.910,0.8984911365,1.0128091008
164712,EGOM,NONE,10,FALL,NMFS fall BTS,1996,60.00,2.170,2.2165685787,0.978990689
