SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SEASON,SURVEY,YEAR,LENGTH,WEIGHT,pred,K_rel
164712,SNEMA,NONE,11,SPRING,MADMF spring BTS,2013,8.00,0.003,0.003,1
164712,SNEMA,NONE,11,SPRING,MADMF spring BTS,2019,53.00,1.703,1.703,1
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,1992,49.00,1.130,1.1307641722,0.9993241984
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,1993,43.00,0.713,0.7586942915,0.939772459
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2005,8.00,0.008,0.0044537988,1.7962194615
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2005,8.00,0.003,0.0044537988,0.673582298
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2005,10.00,0.009,0.008806324,1.0219928301
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2005,11.00,0.011,0.011782868,0.933558787
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2005,13.00,0.018,0.0196289145,0.9170145411
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2007,62.00,2.434,2.3205120337,1.048906433
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2008,72.00,4.660,3.6642125513,1.2717602854
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2010,49.00,1.000,1.1307641722,0.8843576977
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2010,57.00,2.405,1.7948303198,1.3399595346
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2010,62.00,2.140,2.3205120337,0.9222102574
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2012,62.00,2.730,2.3205120337,1.1764644873
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2012,66.00,3.220,2.8088920703,1.1463594611
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2014,41.00,0.685,0.6559557104,1.0442778211
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2016,56.00,1.580,1.7003558505,0.9292172574
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2021,45.00,0.745,0.8717374933,0.8546150713
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2021,50.00,0.965,1.2027538031,0.8023254614
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2021,55.00,1.555,1.6092854787,0.9662673408
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2021,58.00,1.630,1.8927730512,0.8611703336
164712,SNEMA,NONE,10,FALL,NMFS fall BTS,2021,60.00,1.940,2.0993202665,0.9241086417
164712,SNEMA,NONE,10,SPRING,NMFS spring BTS,1992,41.00,0.592,0.6969684317,0.8493928463
164712,SNEMA,NONE,10,SPRING,NMFS spring BTS,1992,52.00,1.428,1.4629614515,0.9761022743
