SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SEASON,SURVEY,YEAR,LENGTH,WEIGHT,pred,K_rel
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,9.00,0.008,0.005311805,1.5060793754
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,10.00,0.015,0.007452992,2.012614522
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,11.00,0.012,0.0101248458,1.1852032331
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,11.00,0.009,0.0101248458,0.8889024248
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,13.00,0.024,0.0173222478,1.3855014818
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,15.00,0.027,0.0274397504,0.9839739633
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,20.00,0.072,0.0691828851,1.0407198238
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,21.00,0.090,0.0809304901,1.1120654269
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,22.00,0.086,0.0939845423,0.9150440902
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,23.00,0.110,0.1084209746,1.0145638368
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,23.00,0.125,0.1084209746,1.1529134509
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,24.00,0.166,0.1243164643,1.3353018113
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,25.00,0.120,0.1417484077,0.8465703564
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,25.00,0.166,0.1417484077,1.171088993
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,26.00,0.194,0.1607948961,1.2065059571
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,27.00,0.267,0.1815346943,1.4707932331
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,28.00,0.262,0.20404722,1.2840165134
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,28.00,0.231,0.20404722,1.1320908954
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,29.00,0.302,0.2284125244,1.3221691793
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,29.00,0.248,0.2284125244,1.0857548228
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,30.00,0.365,0.2547112749,1.4329950654
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,30.00,0.308,0.2547112749,1.2092122743
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,31.00,0.293,0.2830247377,1.0352451958
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,31.00,0.435,0.2830247377,1.5369681235
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,32.00,0.346,0.3134347627,1.1038979757
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,32.00,0.405,0.3134347627,1.2921349137
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,32.00,0.336,0.3134347627,1.0719934099
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,33.00,0.314,0.346023768,0.9074521146
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,33.00,0.330,0.346023768,0.9536917128
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,33.00,0.450,0.346023768,1.3004886992
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,34.00,0.431,0.3808747267,1.1316056692
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,34.00,0.350,0.3808747267,0.9189373184
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,34.00,0.430,0.3808747267,1.128980134
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,34.00,0.378,0.3808747267,0.9924523039
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,35.00,0.399,0.4180711527,0.9543829977
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,35.00,0.514,0.4180711527,1.2294557916
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,36.00,0.405,0.457697089,0.8848647059
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,38.00,0.513,0.5445762362,0.9420168673
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,39.00,0.750,0.5920000722,1.2668917374
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,40.00,0.566,0.6421946475,0.881352721
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,41.00,0.705,0.6952464811,1.0140288648
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,41.00,0.618,0.6952464811,0.8888933878
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,42.00,0.647,0.7512425575,0.8612398133
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,43.00,0.770,0.8102703174,0.9503001448
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,43.00,0.790,0.8102703174,0.9749832655
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,43.00,0.711,0.8102703174,0.8774849389
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,44.00,0.861,0.8724176495,0.9869126335
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,46.00,0.935,1.0064247749,0.9290311837
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,48.00,1.024,1.1539756959,0.8873670421
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,49.00,1.230,1.2330543363,0.9975229508
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,49.00,1.141,1.2330543363,0.9253444608
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,50.00,1.292,1.315788848,0.981920467
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,51.00,1.067,1.402270042,0.7609090746
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,52.00,1.459,1.4925891201,0.9774960706
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,52.00,1.463,1.4925891201,0.9801759776
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,56.00,1.844,1.8940816406,0.9735588797
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,61.00,2.490,2.4933997478,0.9986365011
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,62.00,2.364,2.6271956044,0.8998188015
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,63.00,2.682,2.7658567473,0.9696814568
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,65.00,2.988,3.0581570969,0.9770590278
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2010,74.00,4.860,4.6397704656,1.0474656098
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,9.00,0.007,0.005311805,1.3178194535
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,9.00,0.011,0.005311805,2.0708591412
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,10.00,0.011,0.007452992,1.4759173162
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,10.00,0.001,0.007452992,0.1341743015
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,10.00,0.016,0.007452992,2.1467888235
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,11.00,0.010,0.0101248458,0.9876693609
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,11.00,0.012,0.0101248458,1.1852032331
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,11.00,0.017,0.0101248458,1.6790379135
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,12.00,0.018,0.0133924686,1.3440389895
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,12.00,0.006,0.0133924686,0.4480129965
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,12.00,0.006,0.0133924686,0.4480129965
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,13.00,0.016,0.0173222478,0.9236676545
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,13.00,0.013,0.0173222478,0.7504799693
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,14.00,0.029,0.0219817705,1.3192749854
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,14.00,0.037,0.0219817705,1.6832129125
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,17.00,0.038,0.0410311929,0.9261246705
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,19.00,0.048,0.0586665668,0.8181832111
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,20.00,0.063,0.0691828851,0.9106298458
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,21.00,0.069,0.0809304901,0.852583494
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,22.00,0.083,0.0939845423,0.8831239475
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,23.00,0.117,0.1084209746,1.0791269901
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,25.00,0.154,0.1417484077,1.0864319574
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,27.00,0.176,0.1815346943,0.9695116443
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,28.00,0.191,0.20404722,0.9360578399
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,31.00,0.270,0.2830247377,0.9539802146
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,31.00,0.315,0.2830247377,1.112976917
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,33.00,0.328,0.346023768,0.947911763
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,34.00,0.389,0.3808747267,1.021333191
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,34.00,0.325,0.3808747267,0.8532989385
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,35.00,0.460,0.4180711527,1.1002911753
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,37.00,0.432,0.499837095,0.8642815915
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,38.00,0.625,0.5445762362,1.1476813686
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,38.00,0.536,0.5445762362,0.9842515417
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,42.00,0.718,0.7512425575,0.955749901
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,43.00,0.828,0.8102703174,1.0218811947
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,43.00,0.850,0.8102703174,1.0490326274
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,44.00,0.833,0.8724176495,0.9548179137
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,44.00,0.902,0.8724176495,1.0339084732
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,44.00,0.948,0.8724176495,1.0866355128
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,45.00,0.898,0.937772882,0.9575879376
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,46.00,0.902,1.0064247749,0.8962418478
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,49.00,1.222,1.2330543363,0.9910349966
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,50.00,1.184,1.315788848,0.8998404279
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,50.00,1.302,1.315788848,0.9895204706
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,51.00,1.443,1.402270042,1.0290457307
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,51.00,1.174,1.402270042,0.8372139209
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,52.00,1.356,1.4925891201,0.9084884659
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,53.00,1.490,1.5868376683,0.9389744331
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,54.00,1.195,1.6851076513,0.7091535066
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,54.00,1.711,1.6851076513,1.0153653974
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,54.00,1.563,1.6851076513,0.9275371806
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,56.00,2.164,1.8940816406,1.1425061907
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,57.00,1.698,2.0049714198,0.846894865
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,58.00,1.958,2.1202541696,0.9234741891
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,60.00,2.465,2.3643740374,1.0425592402
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,60.00,2.888,2.3643740374,1.2214649435
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,61.00,2.602,2.4933997478,1.0435550907
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,61.00,2.058,2.4933997478,0.825379084
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,63.00,2.854,2.7658567473,1.0318683362
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,65.00,2.456,3.0581570969,0.8030980496
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,66.00,2.680,3.2119882164,0.8343741694
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,69.00,3.090,3.7053635028,0.8339262795
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,71.00,4.036,4.0618199802,0.9936432485
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,71.00,3.358,4.0618199802,0.8267230001
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2011,72.00,3.528,4.2486031081,0.8303905802
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,19.00,0.064,0.0586665668,1.0909109481
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,21.00,0.101,0.0809304901,1.2479845347
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,22.00,0.096,0.0939845423,1.0214445658
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,23.00,0.129,0.1084209746,1.1898066814
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,24.00,0.135,0.1243164643,1.08593822
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,25.00,0.162,0.1417484077,1.1428699811
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,25.00,0.147,0.1417484077,1.0370486866
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,25.00,0.163,0.1417484077,1.1499247341
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,26.00,0.162,0.1607948961,1.0074946652
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,27.00,0.198,0.1815346943,1.0907005998
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,27.00,0.185,0.1815346943,1.0190889443
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,28.00,0.214,0.20404722,1.0487768468
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,28.00,0.222,0.20404722,1.0879834579
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,29.00,0.241,0.2284125244,1.0551085173
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,30.00,0.263,0.2547112749,1.0325416498
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,31.00,0.283,0.2830247377,0.9999125953
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,34.00,0.415,0.3808747267,1.0895971061
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2012,45.00,0.915,0.937772882,0.9757159943
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2013,9.00,0.004,0.005311805,0.7530396877
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2013,10.00,0.008,0.007452992,1.0733944118
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2013,11.00,0.009,0.0101248458,0.8889024248
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2013,12.00,0.014,0.0133924686,1.0453636585
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2013,13.00,0.023,0.0173222478,1.3277722534
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2014,15.00,0.023,0.0274397504,0.8382000428
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2014,23.00,0.096,0.1084209746,0.8854375303
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2014,23.00,0.152,0.1084209746,1.4019427563
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2014,25.00,0.129,0.1417484077,0.9100631331
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2014,26.00,0.146,0.1607948961,0.9079890193
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2014,28.00,0.206,0.20404722,1.0095702357
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,23.00,0.107,0.1084209746,0.986893914
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,24.00,0.150,0.1243164643,1.2065980223
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,25.00,0.135,0.1417484077,0.952391651
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,26.00,0.178,0.1607948961,1.1070003111
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,26.00,0.160,0.1607948961,0.9950564595
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,27.00,0.196,0.1815346943,1.079683422
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,28.00,0.198,0.20404722,0.9703636246
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,35.00,0.450,0.4180711527,1.076371802
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,36.00,0.438,0.457697089,0.956964793
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,37.00,0.509,0.499837095,1.0183317826
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,38.00,0.440,0.5445762362,0.8079676835
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,39.00,0.548,0.5920000722,0.9256755628
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,42.00,0.761,0.7512425575,1.0129884048
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,44.00,0.736,0.8724176495,0.8436326344
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,48.00,1.165,1.1539756959,1.0095533243
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,50.00,1.314,1.315788848,0.9986404749
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,52.00,1.605,1.4925891201,1.0753126754
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,63.00,2.550,2.7658567473,0.9219566424
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2015,66.00,3.100,3.2119882164,0.9651343004
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2016,11.00,0.012,0.0101248458,1.1852032331
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2016,11.00,0.010,0.0101248458,0.9876693609
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2016,15.00,0.034,0.0274397504,1.2390783241
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,8.00,0.002,0.0036375681,0.5498178792
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,9.00,0.002,0.005311805,0.3765198439
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,9.00,0.004,0.005311805,0.7530396877
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,9.00,0.008,0.005311805,1.5060793754
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,10.00,0.004,0.007452992,0.5366972059
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,11.00,0.014,0.0101248458,1.3827371053
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,11.00,0.010,0.0101248458,0.9876693609
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,11.00,0.007,0.0101248458,0.6913685526
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,12.00,0.012,0.0133924686,0.896025993
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,12.00,0.008,0.0133924686,0.597350662
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,12.00,0.012,0.0133924686,0.896025993
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,12.00,0.002,0.0133924686,0.1493376655
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,13.00,0.016,0.0173222478,0.9236676545
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,13.00,0.012,0.0173222478,0.6927507409
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,14.00,0.022,0.0219817705,1.0008292993
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,14.00,0.022,0.0219817705,1.0008292993
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,14.00,0.026,0.0219817705,1.1827982628
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,15.00,0.026,0.0274397504,0.9475304832
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,15.00,0.032,0.0274397504,1.1661913639
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,16.00,0.032,0.0337659637,0.9476998867
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,16.00,0.036,0.0337659637,1.0661623725
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2017,17.00,0.048,0.0410311929,1.169841689
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,9.00,0.008,0.005311805,1.5060793754
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,11.00,0.009,0.0101248458,0.8889024248
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,11.00,0.010,0.0101248458,0.9876693609
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,12.00,0.016,0.0133924686,1.194701324
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,13.00,0.018,0.0173222478,1.0391261113
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,14.00,0.025,0.0219817705,1.1373060219
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,15.00,0.034,0.0274397504,1.2390783241
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,22.00,0.094,0.0939845423,1.0001644706
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,23.00,0.108,0.1084209746,0.9961172216
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,24.00,0.132,0.1243164643,1.0618062596
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,24.00,0.133,0.1243164643,1.0698502464
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,25.00,0.132,0.1417484077,0.931227392
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,25.00,0.154,0.1417484077,1.0864319574
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,26.00,0.192,0.1607948961,1.1940677513
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,27.00,0.200,0.1815346943,1.1017177776
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,30.00,0.284,0.2547112749,1.1149879413
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,37.00,0.554,0.499837095,1.108361115
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,41.00,0.642,0.6952464811,0.9234135194
164712,WGOM,NONE,11,FALL,MADMF fall BTS,2018,57.00,2.218,2.0049714198,1.106250183
