Year,EGOM,GBK,WGOM,SNE
1977,9.123043634,11.3984799,9.04533016,12.79895596
1978,8.4487045,10.46797922,8.110743214,11.89516215
1979,9.293062215,11.63429268,8.612579355,12.22070406
1980,8.870011763,11.69538452,8.740481617,12.64182736
1981,8.792213405,10.34150156,8.510202822,11.7483339
1982,9.187843328,10.79333834,8.986520754,12.70380524
1983,9.222172108,10.83003143,8.969248871,12.35677992
1984,10.12852636,11.49767479,9.468651284,12.46336792
1985,9.859279808,12.32601913,10.20559101,14.11255112
1986,9.804744448,11.65132238,9.537803081,12.7892841
1987,8.579925626,9.822045096,7.889743723,11.76756876
1988,9.096820582,9.992380896,8.944136552,11.14840749
1989,9.003594413,10.41706204,8.457560269,12.42267322
1990,9.300996659,10.86015245,9.510029371,13.04330075
1991,9.476846094,11.09470774,8.777926929,12.60936954
1992,8.922445902,11.08128332,8.612499366,12.54180666
1993,8.630100004,11.04519012,8.345381651,11.42389972
1994,10.34514967,11.47282359,9.709928946,13.22722093
1995,10.17578937,12.17568297,9.82883002,14.13809819
1996,8.953347824,9.847102422,8.950169076,12.19345301
1997,9.553865005,11.40240471,9.206665127,12.89277946
1998,8.223841776,10.26330196,8.246537348,11.45442919
1999,10.40301286,12.61461115,9.764048682,14.04311284
2000,9.819789069,11.23850395,9.218359507,13.27467681
2001,9.293532832,11.01082494,9.10082763,12.6253372
2002,10.32522766,12.05277381,10.01153483,12.8994672
2003,9.289530097,10.69254374,8.352656171,12.58086389
2004,8.448921428,10.05626431,8.364100416,12.47198833
2005,9.339955956,10.96938062,9.151129903,11.78041015
2006,10.15655712,11.32592892,9.671456737,13.65257335
2007,8.393561017,10.23125677,8.377549655,11.94445749
2008,9.640211924,12.33040405,9.536950965,12.99697655
2009,10.07257993,11.65196964,9.645783666,13.95804316
2010,10.50562444,11.74261451,10.14661168,13.50249876
2011,10.30996025,11.95027726,10.13443683,13.21363313
2012,10.70895388,12.60556116,10.38471142,13.29664894
2013,10.0648762,11.95232353,9.758955112,12.84467141
2014,11.08343607,12.62627234,10.5066728,14.74954536
2015,9.983029997,12.33754588,9.374741263,13.49733117
2016,11.47729464,13.02897501,11.1920515,14.62960526
2017,10.52793788,12.3185025,9.651438233,14.91790545
2018,10.77366933,12.11587503,10.09828751,13.88956632
2019,10.91363413,12.52953798,10.39220311,13.78615534
