Year,EGOM,GBK,WGOM,SNE
1977,4.728221469,6.23117002,5.102089518,5.380013423
1978,4.369793404,5.126817293,4.694918537,4.914639751
1979,4.699172565,6.271295692,4.894552412,6.155569823
1980,4.761441014,6.248657099,5.29978216,6.207707766
1981,4.726881448,5.932216118,5.076837255,6.251888287
1982,4.910220117,5.6447846,5.310178227,6.303690002
1983,5.006112765,6.933859082,5.601769555,6.919618155
1984,5.214190519,7.019933327,5.710320225,6.365465985
1985,5.073981262,7.197263128,6.034045386,7.347087492
1986,6.546694588,7.458107281,6.485499367,7.393363236
1987,4.616017092,6.253821542,5.305883688,6.455165196
1988,5.324391155,6.606395548,6.014058723,6.98004782
1989,4.684178861,6.406064476,5.618381201,6.684400599
1990,4.903080483,6.620207806,5.681841809,7.404824662
1991,5.654613232,6.892721263,6.217596997,7.660041298
1992,5.116991266,6.589250141,5.889726188,6.84287346
1993,4.161549066,6.051445511,4.802697354,5.445485271
1994,5.474201706,7.322439187,5.754529683,6.569438019
1995,5.711971757,7.326257926,6.285021318,7.570959383
1996,4.939435453,5.974422985,5.452020421,5.780336977
1997,5.424956358,6.593570687,6.290390009,7.761049701
1998,5.502642918,6.278850282,5.794262603,6.75568015
1999,5.536731876,7.050292987,5.932869552,7.51323018
2000,6.024667559,7.804230591,6.488999527,7.75713334
2001,5.299685905,6.76783085,5.994871178,6.964702313
2002,6.102341967,7.64758633,6.8856769,8.645812168
2003,4.516133946,5.919390869,5.167130679,5.581269809
2004,4.175084181,5.11447283,4.616630399,5.590463353
2005,4.592521921,5.802642139,5.177949931,5.99181683
2006,6.024169153,6.999095365,6.454832256,8.234163789
2007,4.698434103,5.989092755,5.576691572,6.586038009
2008,6.143012305,6.880980887,6.022944649,7.859044198
2009,4.945393225,6.464559638,5.607458988,6.683060918
2010,5.638389897,7.606058908,6.236290791,6.925884957
2011,6.221629019,7.117288049,6.57694691,6.550224754
2012,6.962201075,8.411009953,7.496077158,9.449858867
2013,5.937764418,7.451540525,6.524798512,7.209904584
2014,5.368077531,6.738756091,5.456196336,6.248616815
2015,4.958929684,6.501610781,5.239521777,6.133172162
2016,6.312259485,7.760062941,6.762880618,8.264772436
2017,5.699998412,7.321988934,6.330123528,6.900557968
2018,5.830664515,7.693638496,6.418743351,7.047890526
2019,6.044038706,7.335344883,6.588179654,7.693512032
