Year,EGOM,GBK,WGOM,SNE
1977,2.977346889,5.690798484,4.041190035,5.789818394
1978,1.726690334,3.594938383,3.256298184,4.679400836
1979,2.865401824,4.93019756,3.933027761,5.133370014
1980,2.989511619,4.805087102,4.323274626,5.904530594
1981,3.30479568,4.356512911,4.040882918,5.462772323
1982,2.578645879,3.888483581,3.565326773,4.82042352
1983,3.520969769,5.720272237,4.659054745,6.906773862
1984,3.187334038,5.996008653,4.324469467,6.799240353
1985,3.988098015,6.100755316,5.315378198,8.058212816
1986,4.351222478,6.104847636,5.337306274,7.724216857
1987,2.322828392,5.129617466,3.779986964,5.879387141
1988,3.488721671,4.930083632,4.374000602,6.88976451
1989,3.411258909,5.399606758,4.74460602,7.461040846
1990,3.815535474,5.87764521,5.313468865,8.503448458
1991,4.076551652,6.002620844,5.356104772,8.06688485
1992,2.66874767,4.639852486,3.978643115,6.803483545
1993,1.902433806,4.792340241,3.538270133,5.420182386
1994,3.108687785,5.576598499,4.432931376,6.814553888
1995,3.587249525,5.293174798,4.721176025,7.513440832
1996,2.676077341,4.072980662,3.489094718,5.097990495
1997,3.542966435,5.119883275,4.737319615,7.525742173
1998,3.863560033,5.596825805,5.036705904,7.735767465
1999,4.120651955,5.677490257,5.330159193,7.51298317
2000,3.878862939,6.203693046,5.320676063,7.635973602
2001,3.214900108,5.21638506,4.555706258,7.039874225
2002,4.415189566,6.242284128,5.768316284,9.558076246
2003,2.904091979,4.336298941,3.865061484,6.408639006
2004,2.080099731,4.247976384,3.544375592,5.850941485
2005,3.079307617,4.616781001,4.276018138,5.950673348
2006,4.373424821,5.625353597,5.374737472,7.763846681
2007,2.891363431,4.884637298,4.305966238,6.960996569
2008,4.536414535,5.060056604,4.977490371,7.567799164
2009,3.382937591,5.274596796,4.571450945,7.073540262
2010,4.298635952,6.509991569,5.751934318,7.811364511
2011,3.881986938,5.270321797,4.871140785,7.182758016
2012,5.181186921,7.257162832,6.601691437,10.44148543
2013,3.915543524,6.201100711,5.736056319,7.183163259
2014,3.89438017,4.850362879,4.657248081,5.264147488
2015,2.862512274,4.930001581,4.115178155,5.823710882
2016,4.596549623,5.699040382,5.446876726,6.178722668
2017,3.532984049,5.5199262,5.027559622,6.867482652
2018,4.212479703,5.702138838,4.937098603,5.950351877
2019,3.663999547,4.864077552,4.610745757,6.979249459
