"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Fall",-19.8677774516937,-33.186707582063,-15.2943408609057,-33.3186113529349,-3.33510964410899,-2.15172016881504,-0.733896612473337,-0.993257970513889,3.35323315804868,-2.340731524885
"2",1978,"Fall",-19.1107237221963,-33.3767859555585,-15.4283252035224,-34.0499519897062,-2.86418596338075,-2.35075039119867,-0.420092194555184,-0.0648543414227445,6.09202842425987,-0.818928095562893
"3",1979,"Fall",-20.999529588011,-33.3512146919312,-16.1808957821555,-33.2234333408917,-3.94762766114824,-1.75976754166639,-0.981254538961121,-0.645569781023489,2.78927765372414,0.386077746992117
"4",1980,"Fall",-19.2151611181463,-32.3726918598185,-14.6316069573091,-33.1665923279208,-3.49196924485097,-2.75474079883129,-1.56823944779698,0.174341826791512,2.38907969778788,-1.78093780427798
"5",1981,"Fall",NA,NA,NA,NA,-4.1370306475512,-1.97855427323122,-0.642772704454558,-0.84014198333107,1.95640057167047,0.564533333857119
"6",1982,"Fall",NA,NA,NA,NA,-3.18680400313755,-2.68814354061742,-0.544184662425778,0.00879111736763747,5.70572628214642,-0.708499635930882
"7",1983,"Fall",-16.4306908475199,-33.253599687012,-15.2711360183439,-34.1836517608663,-3.17992141122399,-2.78222312618649,-1.2369437999471,-0.63175851847298,5.14513465564337,-1.40765837419227
"8",1984,"Fall",-15.6149311513672,-32.7128203478602,-13.0730701131711,-33.4279044200438,-3.73754988759418,-2.46168663351218,-1.04897878775439,-0.517042601704008,3.53291186456713,-1.97615619936461
"9",1985,"Fall",-18.6866767972782,-31.865081722696,-12.8914464943812,-32.7066404903164,-4.22896579889953,-2.58688731951914,-1.44122428302174,-0.79128258164529,1.12190324769628,-3.27306339540376
"10",1986,"Fall",-20.3965484818082,-32.0752714004984,-12.6070445035513,-33.0418496028086,-3.97841516106631,-2.38736786501708,-1.35113700947945,-0.900923673845759,0.738038195492779,-1.85168865070943
"11",1987,"Fall",-19.8899734636038,-33.0492740421157,-16.1537221492347,-33.5907713855887,-3.82145555897666,-1.78457814288117,-0.518658363683374,-1.36569231888241,3.24357882615227,0.338339466977579
"12",1988,"Fall",-18.8146648478768,-33.1583430057333,-16.0380202843159,-33.8656006615711,-3.45206667395743,-1.49295748183995,-0.282674880955074,-0.742176374268808,3.77009542774463,-0.520482807849755
"13",1989,"Fall",-17.7926501304444,-33.2333323839633,-15.9096056573746,-34.0084058986234,-3.3204258529972,-2.08985024695336,0.433051113983738,-1.00494153398215,2.90278919493997,0.958103603910412
"14",1990,"Fall",-19.45013302799,-32.7286994995077,-14.1664973122328,-33.4702752347018,-3.1853988581405,-3.87841298106711,-1.07989762294408,-0.757217909028445,4.10695964781203,-1.35489016100338
"15",1991,"Fall",-20.5135268925717,-33.0156863288281,-14.9152965846092,-33.6496753361853,-3.33672442469228,-2.40987774832562,-0.438425857952797,-0.0344574106669149,1.15244634366745,2.83395237586883
"16",1992,"Fall",-21.1518437165492,-33.3413520194348,-14.6646595820551,-33.8739667233663,-3.14530418490772,-2.05607032854426,-0.403201542395333,0.0812053387058509,2.9476803993576,3.95016990723181
"17",1993,"Fall",-20.7056142552795,-32.7674838148589,-15.4738772497153,-33.4167303282605,-3.13478191733388,-2.31388975703448,-0.573560088856025,1.64630102223283,2.61933942637305,3.98429511661173
"18",1994,"Fall",-21.6024368385616,-32.3867124462316,-13.7646497936534,-32.8570506489454,-3.28049763677239,-2.30747127723394,-1.84989174378478,-0.619774931421325,-1.33829831125956,2.36846720624061
"19",1995,"Fall",-20.8271209447978,-31.7313326322145,-11.2372410477641,-32.8477184387281,-4.02717672057452,-2.76317429351919,-2.30798179950805,-1.42423084143453,-0.717068447130079,-2.03516253711251
"20",1996,"Fall",-23.6033862528487,-33.6048547799669,-13.9510798761783,-33.8595119257135,-3.08295507095234,-2.45732766835371,-0.888817712201674,-0.100272082988766,1.51552934227307,2.48697019731901
"21",1997,"Fall",-20.7552739060126,-32.686170546933,-13.222127309301,-33.2550794523538,-3.51670874147003,-2.50361665576765,-2.03140564331513,-0.871375409807287,-2.40656425413763,2.19993525254186
"22",1998,"Fall",-18.6840740205359,-33.9855896745996,-17.4734433091852,-34.4662723265613,-3.23227868626502,-1.11964623003951,-0.207107815955126,-0.554893623147459,0.292056268898582,5.10434617219564
"23",1999,"Fall",-17.5163040159207,-32.6735130655011,-13.708479225131,-32.7435330741511,-3.54528404339394,-2.96965270907554,-2.23192138606999,-1.10394488230279,-1.47038912680529,-1.2607659125885
"24",2000,"Fall",-19.7145908176816,-32.6510456402971,-14.5016379773182,-33.2142683235032,-3.36831668147582,-3.07510038464701,-1.91752850967674,-0.689448417523768,-3.75121335448347,2.45698321652467
"25",2001,"Fall",-18.250202541029,-32.5869762828888,-14.3226403071694,-33.1849602232724,-3.99107636128145,-1.85476221911316,-1.54292847538231,-1.06718425774586,-2.45927366279653,0.727293842457161
"26",2002,"Fall",-18.5618476641423,-32.2382238182269,-13.5138759650055,-32.9465424135954,-3.85800926153837,-1.80510214358633,-2.09436408049182,-1.50406735547575,-2.9160957618823,0.660742950628148
"27",2003,"Fall",-19.4916258583673,-32.2785162715956,-13.9068701341543,-32.7851814643071,-3.98815801520368,-1.68682469802737,-1.90872888102157,-1.0626684415778,-3.72336929844703,0.562032297227839
"28",2004,"Fall",-18.292903580979,-33.3867257924463,-14.3132818468781,-33.7763792440538,-4.10877746517963,-1.12686755040009,-1.33675967971717,-1.33343496498369,-0.278011623557124,1.44857366325012
"29",2005,"Fall",-17.9311217240087,-33.5260905702588,-15.2730140392982,-33.5012935595299,-4.08928717673127,-1.16687442507293,-1.73604991233938,-1.26581461907204,-0.76341999596439,-0.742823360060263
"30",2006,"Fall",-19.6013598131577,-32.689624442899,-13.1463370581455,-33.1150409252218,-3.92576961985245,-2.54584354348475,-2.14963340281493,-1.28032039642411,-4.50965289163507,1.68268485843258
"31",2007,"Fall",-18.642438800859,-33.2283106051925,-15.6278794533822,-33.7152072585085,-3.50706621386477,-1.4488761496777,-1.45622762468133,-0.992587502896126,1.43317237286471,-0.526497148834509
"32",2008,"Fall",-19.5722002758461,-32.8760589859961,-14.3393683069601,-33.4428792117674,-3.32827305064334,-2.5227873604724,-1.78869589703523,-0.450844781644864,-2.96042515780066,0.35752652077224
"33",2009,"Fall",-19.1534096457509,-32.9664138911248,-13.8667512020407,-33.2191317326478,-3.8554933201965,-1.71930261426659,-1.58157618922911,-1.24202612105654,0.354150713052,-0.240676774037065
"34",2010,"Fall",-19.3479371646113,-33.0088594443832,-14.0372554607459,-33.6585028354748,-3.49224547563097,-2.68144031329329,-1.69517246443314,-1.31491782099381,-0.54424366618069,-0.728545002035167
"35",2011,"Fall",-18.5150498544685,-33.8767452094964,-13.8170897212093,-33.8244065083626,-3.5873512103239,-2.29249827738987,-1.92107194572357,-1.36317497337617,-1.33025799271795,-0.467200081794481
"36",2012,"Fall",-17.7610378498829,-32.6969575570861,-14.2144763480492,-33.0629733474201,-4.23777012274289,-2.02452049747224,-1.95022908729647,-1.39503405077734,-3.64478866438555,-1.64960079703416
"37",2013,"Fall",-19.7408234025829,-32.4624289052094,-13.8502084333816,-32.9099657877172,-3.52747464036665,-2.91020947566295,-1.4878672934492,-0.719580799985138,-2.53353987831332,0.448938448934592
"38",2014,"Fall",-17.6151224111523,-32.0906810732353,-12.4116674562444,-32.7632128475495,-4.35112874099042,-3.1681013661246,-2.09233759114836,-0.801231855188326,-3.19634078168881,-1.66177290325167
"39",2015,"Fall",-18.7291634806287,-32.0261108841629,-12.0471104964883,-32.6786877688176,-3.99677835384268,-3.11176136189171,-1.98053044403066,-0.777688282141724,-4.11134944749621,-1.59416873967142
"40",2016,"Fall",-17.9978568034288,-31.891061466754,-12.7739551047285,-32.719482560861,-3.99480970780214,-2.92194482280235,-1.5083797420934,-1.23403046410464,-4.2284997920134,-0.345691485997965
"41",2017,"Fall",-15.354052894436,-33.1921898128879,-12.9587744186417,-33.496098908937,-4.28256574790122,-2.98327292336595,-1.66793386913033,-1.19044671768978,-2.94708752229647,-2.0994681993516
"42",2018,"Fall",-18.6509168588681,-32.6790603760427,-13.4611890707576,-33.6639443689525,-3.97922060140816,-2.77357044347213,-2.06742393376651,-1.40667761379707,-3.30241056998065,-1.80261300816734
"43",2019,"Fall",-19.0189088723621,-32.4940059921049,-12.3606484092404,-33.1451369864437,-4.41128796976178,-2.33410442834055,-2.37395230187947,-1.2161709307332,-4.02923151320019,-2.33194357885746
