"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Spring",NA,NA,NA,NA,-4.20708581819209,-3.28254437063565,-3.6911835689439,-4.02869041684668,-4.98663633401342,0.11292496512119
"2",1978,"Spring",-12.6026821652129,-32.4934533918764,-9.79692999409866,-33.4720038591953,-4.70440319290466,-4.02356298397185,-4.08258705156582,-5.1348961106992,-7.12214766532503,1.30206180513453
"3",1979,"Spring",-9.48138603880048,-32.7288607114731,-8.97045069460184,-33.1369296904032,-3.72102433859383,-3.89441031340347,-4.05120760334918,-2.87648078893782,-3.28070279010294,-1.31833403741474
"4",1980,"Spring",-8.50048240976099,-32.2343790508297,-7.46243489628284,-32.8380284474014,-3.64690486168486,-4.24729559488425,-4.31637925210998,-3.36914626584259,-2.42221033009392,-0.219654808975131
"5",1981,"Spring",-6.08492243932988,-32.2077550425124,-6.72209339779836,-32.8391624898763,-4.24981311311026,-4.08254351303645,-4.09694924910197,-3.23335545843127,-3.61061059323172,0.131015678093467
"6",1982,"Spring",-10.8065307691103,-32.4893223894273,-8.17525377078773,-33.2237002222946,-3.99745142058408,-3.83305169598887,-4.16038402455041,-3.7289332804036,-2.18027907953489,-0.488970405303173
"7",1983,"Spring",-14.2407997327277,-32.5449334361876,-7.77758068390899,-33.9049444692184,-3.95887102477274,-4.03464301545914,-4.67627246685725,-3.42364092450423,-2.90624855478105,0.286125325547153
"8",1984,"Spring",-14.577737894077,-32.6354966366628,-9.51041885460719,-33.1539870760222,-4.03178120108184,-3.47167298859666,-4.2059061430271,-3.22234717743279,-3.77189838234088,-0.49650122666581
"9",1985,"Spring",-9.66788032716836,-31.5771458442201,-6.84521748981807,-32.6856016113968,-3.29409539312479,-4.18022890930545,-4.51137666229749,-3.93873198346302,-3.31670703093747,1.78734578739726
"10",1986,"Spring",-13.4269944648713,-30.9784455550446,-6.53709364881632,-32.3272818682314,-3.37148571959483,-3.62452000498726,-4.71406133810025,-4.35578079284484,-2.46242753438756,1.19544900053046
"11",1987,"Spring",-14.1415346462544,-32.2674072309044,-8.56164015147542,-33.1687432696966,-3.66751981890858,-3.24019811116658,-4.36503174786738,-2.8949370777175,0.62082677144556,-2.25127057057601
"12",1988,"Spring",NA,NA,NA,NA,-3.82475602864046,-4.28678337910862,-4.13419517243574,-2.39364218024097,-1.44768765202065,-1.08739692310117
"13",1990,"Spring",NA,NA,NA,NA,-3.34477602059664,-3.45889531641589,-3.40724278202907,-4.47691279755877,0.769662687908755,-1.07190712762939
"14",1992,"Spring",-6.09390748527396,-32.8886192350569,-6.04079745967985,-33.4923018951035,-3.94386703288046,-4.26784371802561,-4.14773412755901,-1.90143614515997,0.660263188095508,-1.89914707379806
"15",1993,"Spring",-6.64053600551099,-33.0759320372043,-6.87940014209009,-33.5155066156174,-3.96225952883256,-3.33030349850648,-4.19691375512881,-2.72363030151904,2.53404323866184,-2.28345719874256
"16",1994,"Spring",-6.41958088574029,-32.9507035433922,-4.95566404580299,-32.9233988231681,-3.86974714398503,-3.44767315611897,-3.8347883473273,-2.29633328703004,1.56887574410583,-1.90594225530232
"17",1995,"Spring",-4.38469607321836,-32.5265469984195,-5.15534755020654,-33.2792000414707,-2.7117108025006,-4.27604527972622,-4.33908868092733,-1.75016524440727,2.54513508812868,1.83602775324485
"18",1996,"Spring",-7.00512901543167,-33.3217379926758,-7.17318973978494,-33.9718468303937,-2.76787103916977,-3.70762801601127,-3.84188881734047,-1.76133177725148,4.06584793374519,-1.32775718427814
"19",1997,"Spring",-5.03181045309134,-33.6676080806211,-5.15723363759165,-34.2331813424986,-3.8176530785741,-5.08748932621964,-3.737490266624,-1.13105296092127,2.23343927332588,-1.48725472640182
"20",1998,"Spring",-8.84908753597367,-33.0318030596359,-7.28990782992659,-33.8249651624592,-3.04385603910394,-2.97398094777723,-3.80190508945649,-1.95399067596778,2.58472631154589,-4.25554261169049
"21",1999,"Spring",-5.1500294445227,-33.3858012052943,-5.29768625573126,-33.7433677674099,-3.19794730882423,-3.91358940391853,-3.85547399818488,-2.23827683767426,2.64649801021315,-0.315920915543938
"22",2000,"Spring",-9.70935387196154,-31.9457815148975,-6.31113653157898,-32.66906631342,-2.64914027819176,-3.71623512059412,-4.07104542360844,-3.11531935527333,0.974707490049322,1.04070880542351
"23",2001,"Spring",-10.74900391584,-32.2669669510437,-7.92482002929172,-33.2890518846385,-2.33811647457565,-4.06286754633614,-3.6958927263748,-2.02519078899718,1.89175745847177,0.223474657590165
"24",2002,"Spring",-9.24680289111637,-31.5381628418413,-5.82599853671015,-32.5339861210159,-3.21658242147218,-4.28343034670521,-4.42221144390381,-2.90607603510055,0.175747722761343,2.05291690706458
"25",2003,"Spring",-5.72779144960019,-32.6197960873459,-7.24564941565767,-33.0929227282654,-3.06824226083202,-3.17182676750256,-4.13449103332663,-2.34127717091666,1.2062926733643,2.0333665853605
"26",2004,"Spring",-9.52573593499232,-32.1804649961948,-8.78444149939676,-33.1576304852486,-3.2496269921056,-2.89041949743609,-4.23026693105776,-2.98155922795743,1.14888720310289,0.364153753855336
"27",2005,"Spring",-11.816725385638,-32.7081969164232,-7.62890087626306,-33.6681493611334,-4.82737622166078,-2.9031534441001,-4.23657590174975,-2.85120397637487,0.340445992629642,-4.25617074827919
"28",2006,"Spring",-4.73998992808552,-32.8351998568298,-4.19268283369605,-33.1362410200518,-3.42184219042542,-3.49381180905913,-4.64282771712137,-3.51337421580886,1.38610912786138,2.55063081858555
"29",2007,"Spring",-9.59214565992682,-32.1666199340068,-7.77150468746575,-32.9171471247333,-3.26569126922048,-3.54032002215417,-4.90487485665705,-3.3475636776945,-0.553837905498176,2.07826657429943
"30",2008,"Spring",-4.82936463747019,-33.0948750751315,-4.43994874516182,-33.3550621804799,-3.23525924119154,-3.71473202847744,-3.81301031790332,-2.58231360302397,0.463292623397313,1.68798390610739
"31",2009,"Spring",-8.63871803517539,-32.1506046071753,-7.36850152148406,-33.0441550229745,-3.90011714960484,-3.1484639302514,-4.61558933433685,-3.38062250854452,0.633028436851797,1.77260963824981
