"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Summer",-23.3548639468961,-31.5979369142048,-12.6149475879247,-32.6415880596145,-4.06574221854751,-3.4645005818875,-2.08112193003118,-2.14886091545683,-6.20670190469046,1.38330008912954
"2",1978,"Summer",-19.9145606156988,-32.158551047644,-10.3819260701992,-33.5623182089813,-3.55698399924469,-3.62781890032482,-3.02014415807668,-2.51073489891169,-2.52362062708261,0.121823641130451
"3",1979,"Summer",-20.7675584727131,-31.6375560914745,-9.03896348861387,-32.928032945399,-3.96193359292295,-3.89111337384041,-4.0314875533441,-2.51919013458867,-0.450656300905887,0.580554309351018
"4",1980,"Summer",-17.3794254230557,-31.3359225962031,-9.53146484228718,-32.467031914145,-3.5714221167012,-3.61650127066325,-3.83974713473243,-3.3528443931901,0.45081614258293,0.609225896993351
"5",1981,"Summer",-14.0861131210506,-31.1401933367338,-9.24286914478347,-32.4099738216106,-3.63742705147537,-4.08093312019773,-3.6394279959281,-2.8909735211105,-1.02054992306467,1.03577727056605
"6",1982,"Summer",NA,NA,NA,NA,-3.6654875398348,-3.99069448269775,-3.15409817053386,-2.6317379511278,0.017799910137099,1.45194609021213
"7",1983,"Summer",-15.3672886839713,-32.704593831688,-9.14168126630147,-32.9708926085894,-4.34777996002228,-4.12603500036068,-3.73583595154446,-2.61165123023307,-3.71472856512906,1.40262452798546
"8",1984,"Summer",NA,NA,NA,NA,-4.38841492433697,-4.09716874550051,-3.66735010955482,-2.01397982153366,-0.662994156347912,1.36999020646416
"9",1985,"Summer",NA,NA,NA,NA,-4.07315392846759,-2.87047810211251,-2.87026901182946,-3.08464284327181,0.849413469534237,-0.340291447992706
"10",1986,"Summer",NA,NA,NA,NA,-3.98204497218009,-3.3980436031366,-3.06447387898069,-2.7006461596939,-0.817985178118689,0.893800233118373
"11",1987,"Summer",-24.1463425963365,-31.8563509409046,-11.4812351159103,-33.0782732179734,-4.93372958963766,-3.11708412831093,-2.92134606912016,-3.22418269158567,-1.27182636674907,-2.08699979405928
"12",1988,"Summer",NA,NA,NA,NA,-4.16493693530918,-2.24178724322179,-3.61657635862743,-2.66872233730109,-0.114141044220843,-2.71548769498542
"13",1991,"Summer",NA,NA,NA,NA,-3.69247749301456,-3.99491807870171,-4.60792062358548,-3.61552320502153,1.88527838774335,-4.11243251243221
