"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Winter",NA,NA,NA,NA,-4.14850601606572,-2.85795226693584,-0.589937364450734,-2.18157932502232,-4.6772190901317,-3.95035684887736
"2",1978,"Winter",-8.00867366771692,-33.2874764679594,-8.62176426704898,-33.7288171461156,-5.13230672903089,-4.36974089608411,-3.17644202579994,-3.98726273700306,0.566793167475356,-6.15718681230414
"3",1979,"Winter",-13.6543161227327,-32.0788843797634,-13.0691140282327,-32.2453610510618,-4.06535898417537,-2.04581134762093,-0.580697260839325,-0.333290581187159,-4.89288218017531,0.663974695053994
"4",1980,"Winter",-15.0520009115031,-31.4570595278535,-15.1116949655537,-32.4221587272671,-4.01237205352958,-2.69238206239383,-0.755754824179906,0.867958332993517,-6.40868442960574,-1.57214522378512
"5",1981,"Winter",-15.6580754152194,-33.2827025242356,-15.0173699029982,-33.4634586457242,-4.75223701625469,-2.14545391897658,-0.786841314431137,-1.40538706754829,-6.44849496408511,-0.38935561303325
"6",1982,"Winter",-13.5388192630049,-32.4906120827483,-13.4051556726146,-33.042446873635,-4.12104157684896,-1.13586419881203,-1.64436574268663,-0.704803863317094,-6.59273545940924,-1.50106548756258
"7",1983,"Winter",-11.474337506054,-32.7299242857376,-11.5362016362842,-33.0747404225312,-4.27981575038245,-2.21747683092326,-1.92476201775309,-1.19926254629023,-3.45027353280137,-0.482820488580807
"8",1984,"Winter",-6.14835090120989,-33.3966466598383,-6.59684691786944,-33.4922955843103,-4.34313538534208,-2.61309640126002,-2.74065904315735,-1.83995419792836,-0.483024801898065,-0.521230619805071
"9",1985,"Winter",-5.85734723042805,-32.3863174639977,-7.39200426514797,-32.903321102304,-4.29569914548074,-2.46882508943232,-3.93383019362753,-2.75362543374201,2.15080736565006,-0.0838545597097914
"10",1986,"Winter",-5.21880516883056,-32.3161387609364,-7.07326159388183,-32.9682396731087,-4.20068215325495,-0.843431214824585,-4.73752377216623,-2.7483153465454,1.23679579243847,-0.0746884641039137
"11",1987,"Winter",-5.20032332979107,-33.0774616295244,-6.75973296140704,-33.3921258793028,-4.23691150306416,-1.62429052155146,-3.19869346576742,-1.43163853216932,1.21562234556595,1.57796183623444
"12",1988,"Winter",-9.81787137488423,-33.5078453798192,-9.84179384907008,-33.7668275018561,-4.12235994228645,-1.98518000980796,-1.71718774146573,-1.14183797045991,-2.93966458395154,0.515955249521416
"13",1989,"Winter",-7.63493461881167,-33.0892016204585,-9.36647055623431,-33.7973306645478,-3.30337497724153,-2.54964493617118,-1.89450221983948,-0.561647467309044,-0.843540803404471,1.21868292182159
"14",1990,"Winter",-9.22053764621536,-32.7059962028783,-9.02210611868643,-33.163827872399,-3.88535139839318,-2.6312729029582,-1.69100211243405,-1.88669718112479,-1.4620801751728,2.34528685409354
"15",1991,"Winter",-7.15755311954289,-32.7433951366543,-7.73476557405662,-33.3316698073677,-3.75336017185879,-3.57647084629268,-2.17686523061166,-1.63620090334029,-1.74813934600344,1.26227325125449
"16",1992,"Winter",-9.31929694754803,-33.1344231132879,-9.97205214277135,-33.8094912813049,-3.89947179868474,-2.95991034486217,-1.66465322207916,-1.36272955253696,-2.93439812984646,1.06021081662895
"17",1993,"Winter",-7.26661790894847,-33.2044991748206,-7.68386847562948,-33.6492101711946,-4.16040676108459,-2.47389140951692,-2.21966905749286,-1.15902918988141,-1.04310260950764,1.53004218407581
"18",1994,"Winter",-6.8179292233823,-33.236600091591,-7.54736062569273,-33.6680447918981,-3.96948424358878,-3.34034751060179,-2.21088700628187,-0.484923842409382,-0.490698004520472,1.82041858594975
"19",1995,"Winter",-4.9427234976068,-32.311162255104,-6.38529535023066,-33.0404963702647,-4.20702494787486,-3.10721421964134,-4.2347507257035,-2.20606950842947,2.26625795457817,-0.519574854211327
